laua,laua_name,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,per_sites_with_fibre_backhaul
E07000035,Derbyshire Dales,2.27,3.04,9.62,85.07,8.64,11.89,22.95,56.52,5.07,8.86,17.15,68.92,21.08,18.46,22.42,38.04,24.05,21.43,22.46,32.06,15.78,18.97,23.55,41.7,0.03,0.73,2.78,4.71,91.75,2.54,2.38,8.44,11.44,75.2,0.34,1.38,6.22,9.05,83.01,7.01,6.65,11.36,17.99,57,5.81,6.9,14.13,20.42,52.73,3.81,5.01,10.13,19.03,62,1.17,1.36,1.83,3.22,92.42,4.33,3.93,8.17,11.17,72.41,1.36,3.67,5.3,11.09,78.58,10.38,10.46,12.86,17.19,49.11,11.02,13.05,14.45,19.2,42.28,5.98,10.15,12.68,18.47,52.72,0.02,0.37,1.25,2.22,96.14,1.98,2.01,4.24,8.31,83.45,0.19,0.72,2.34,5.33,91.43,4.46,6.47,7.19,14.24,67.64,,5.47,9.79,15.33,65.02,1.44,5.56,5.85,13.32,73.82,,0.03,0.43,1.18,98.36,1.13,0.92,1.99,2.98,92.98,0.03,0.14,0.63,1.71,97.49,1.86,3.47,4.75,7.96,81.97,,,5.08,8.91,81.98,0.26,1.98,3.44,7.34,86.98,70
E07000036,Erewash,,,1.55,98.45,1.7,2.97,24.97,70.35,0.02,0.01,4.07,95.9,0.49,4.42,24.09,71,1.47,5.04,26.5,66.99,0.59,3.39,22.46,73.56,,,0,0.36,99.63,,0,3.81,10.73,85.45,,,0.04,1.85,98.11,,0.12,7.6,13.31,78.96,0.04,0.03,8.27,20.12,71.55,,,6.6,13.73,79.67,,,,0.01,99.99,,0.81,1.49,12.7,85,,,,0.23,99.77,,0.49,2.21,18.64,78.66,,0.31,2.45,18.01,79.24,,0.15,2.2,14.63,83.02,,,,0.01,99.99,,0,0.05,2.94,97.01,,,,0.06,99.94,,0.12,0.49,5.9,93.49,,0.04,0.45,6.52,93,,,0.29,4.85,94.86,,,,,100,,,,0.01,99.99,,,,,100,,,,1.1,98.9,,,,0.23,99.77,,,,0.73,99.27,59
E07000037,High Peak,0.27,0.72,2.35,96.66,1.54,2.9,12.41,83.15,15.37,8.98,12.64,63.01,14.04,8.53,27.74,49.69,34.1,13.79,17.14,34.97,16.34,8.61,27.04,48,0.03,0.04,0.39,1.72,97.81,0.26,0.57,3.04,3.92,92.2,4.12,3.68,14.82,8.81,68.57,6.88,3.22,18.23,11.19,60.48,18.02,6.33,17.76,13.83,44.07,8.06,3.68,18.62,11.61,58.03,0.19,0.36,0.68,0.87,97.91,1.07,0.94,2.61,11.52,83.85,10.87,6.03,8.58,11.79,62.73,10.61,8.02,14.81,19.88,46.68,25.65,11.33,11.73,15.92,35.37,12.35,8.9,14.03,19.77,44.95,0.02,0.03,0.26,0.54,99.15,0.25,0.46,1.11,2.46,95.72,3.9,3.13,8.03,10.64,74.3,6.17,2.36,12.31,13.11,66.05,,5.94,12.16,13.38,52.25,7.23,2.73,12.08,13.75,64.21,0,0.01,0.06,0.12,99.8,0.1,0.23,0.55,0.92,98.2,1.87,1.76,4.15,7.22,85,4.89,1.52,7.75,10.97,74.86,,,7.54,12.49,64.3,5.77,1.68,8.09,11.17,73.29,55
E07000038,North East Derbyshire,0.13,0.09,3.89,95.89,1.82,6.05,28.19,63.95,1.27,2.08,9.09,87.56,6.79,9.49,29.23,54.49,8.55,12.23,27.04,52.18,2.78,6.5,29.03,61.69,,,0.07,1.27,98.66,0.13,0.13,6.09,12.11,81.55,0.06,0.13,1.47,4.87,93.46,1.29,1.68,7.64,20.61,68.77,1.18,1.67,10.02,20.74,66.39,,0.3,6.16,18.35,75.2,0.04,0.08,0.08,0.3,99.5,0.49,0.93,4.16,14.44,79.98,0.29,0.6,1.19,4.07,93.86,3.07,2.54,6.88,17.59,69.91,3.52,4.08,9.14,18.1,65.16,0.5,1.69,4.92,18.01,74.89,,,0.01,0.13,99.86,0.12,0.08,0.55,6.07,93.17,0.03,0.12,0.34,1.8,97.7,1.15,1.2,2.27,10.24,85.13,,1.18,4.08,11.88,81.84,,0.1,0.9,7.67,91.34,,,,0,100,0.04,0.07,0.08,0.3,99.5,,0.02,0.09,0.29,99.61,0.48,0.96,0.77,2.13,95.66,,,1.13,3.97,94.1,,,,0.7,99.3,58
E07000039,South Derbyshire,0.18,1.36,20.42,78.04,9.29,16.63,39.87,34.21,1.53,4.12,17.44,76.91,7.83,12.08,38.28,41.81,19.81,20.56,29.5,30.14,7.97,11.97,35.74,44.31,,,0.9,4.81,94.29,0.26,2.31,21.11,16.45,59.88,0,0.02,1.68,7.23,91.06,0.12,1.39,19.31,24.43,54.75,1.94,4.18,18.34,28.22,47.32,0.16,1.38,19.68,22.14,56.64,,0.07,0.57,2.76,96.61,1.22,3.05,9.88,18.52,67.33,,0.32,2.55,7.54,89.58,2,2.35,7.57,15.33,72.75,3.84,8.52,18.6,18.33,50.71,1.62,2.26,8.18,14.29,73.65,,,0,0.4,99.6,0.09,0.79,2.18,12.29,84.65,,0,0.04,1.29,98.67,0.06,0.97,1.93,10.29,86.74,,2,6.03,14.1,76.85,0.08,0.98,1.53,10.05,87.37,,,,0,100,,0.01,0.54,2.44,97.01,,,,0.04,99.96,,,0.67,1.63,97.7,,,2.04,5.46,92.27,,,0.82,1.61,97.57,69
E07000040,East Devon,0.53,0.96,9.3,89.21,5.59,7.51,30.42,56.49,2.47,4.33,11.2,82,3.9,7.55,23.96,64.59,15,14.64,23.95,46.4,3.4,7.07,21.67,67.87,0.04,0.15,0.82,4.77,94.22,0.66,1.11,9.58,16.7,71.95,0.07,0.55,3.32,6.72,89.33,0.06,0.3,4.5,16.04,79.09,2.99,4.08,9.83,19.07,64.02,0.05,0.28,3.2,12.18,84.3,0.39,0.7,0.99,3.04,94.89,1.83,3.84,8.05,15.96,70.33,0.98,2.17,3.49,6.93,86.43,0.49,3.59,9.06,18.9,67.96,6.7,9.46,14.16,20.22,49.45,0.5,2.92,8.52,15.16,72.91,0.04,0.12,0.36,0.63,98.85,0.58,0.58,2.99,8.02,87.84,0.05,0.31,1.17,3.68,94.78,,0.12,0.75,7.8,91.33,,3,5.23,11.1,78.3,,0.05,0.81,6.2,92.94,,0.01,0.16,0.27,99.56,0.37,0.27,0.68,3.08,95.59,0,0.03,0.23,1.2,98.55,,0.03,0.18,2.57,97.21,,,3.09,6,88.22,,,0.23,1.6,98.17,44
E07000041,Exeter,,,4.63,95.37,0.01,0.38,31.96,67.65,0.09,0.19,6.17,93.55,,0.2,37.37,62.43,1.7,1.76,29.93,66.61,,0.29,37.15,62.55,,,,0.05,99.95,,0,2.56,6.19,91.24,,,0.02,0.41,99.57,,,4.26,10.77,84.97,0.15,0.19,4.1,10.55,85.02,,,2.95,12.39,84.66,,,,0.01,99.99,0,0.01,0.07,5.03,94.89,,0.13,0.13,0.66,99.09,,,0.81,11.22,87.97,0.64,1.59,1.59,8.29,87.89,,,1.18,17.78,81.04,,,,0,100,,,0,1.49,98.51,,,,0.11,99.89,,,,3.04,96.96,,0.28,0.51,3.06,96.16,,,,4.42,95.58,,,,,100,,,,0.01,99.99,,,,,100,,,,0.4,99.6,,,0.11,0.61,99.15,,,,0.58,99.42,84
E07000042,Mid Devon,1.57,3.33,12.65,82.46,12.55,15.04,25.92,46.49,8.45,8.34,15.99,67.22,15.26,16.41,26.03,42.3,31.02,17.43,21.09,30.46,9.05,15.69,27.37,47.89,0.22,0.52,2.67,5.88,90.7,2.44,3.03,11.61,16.94,65.98,1.31,2.74,9.29,11.55,75.11,2.24,3.52,15.72,19.17,59.36,10.33,8.54,16.69,20.7,43.73,0.38,2.15,10.8,18.01,68.66,0.73,1.78,3.76,6.15,87.59,6.06,8.81,12.04,15.82,57.28,4.6,6.11,8.13,13.14,68.02,9.13,10.75,15.15,19.92,45.04,19.11,15.64,16.48,19.42,29.34,5.08,9.73,14.14,20.23,50.81,0.18,0.33,1.04,2.69,95.75,1.87,2.14,5.2,9.09,81.71,1.04,1.97,4.04,7.68,85.27,2.13,2.94,8.8,12.74,73.4,,7.2,10.83,14.12,59.07,0.22,2.1,6.92,12.53,78.23,0.05,0.07,0.19,1.3,98.39,0.66,1.21,3.08,5.49,89.55,0.26,0.66,1.42,3.35,94.31,1.24,1.45,5.4,7.66,84.25,,,7.26,10.36,73.33,,0.83,5.6,8.18,85.39,75
E07000043,North Devon,1.92,3.39,17.55,77.14,11.81,11.29,31.96,44.93,10.49,11.73,18.05,59.74,24.2,20.82,26.44,28.53,34.1,21.91,18.27,25.72,15.7,19.6,28.02,36.68,0.32,0.56,5.06,10.76,83.31,2.36,3.99,18.94,11.86,62.86,2.1,3.62,13.86,17.24,63.18,9.18,7.38,21.53,22.4,39.52,13.43,10.22,22.01,21.9,32.44,5.54,4.97,18.67,23.83,47,1.03,1.26,2.37,4.43,90.91,6.75,5.16,10.03,10.99,67.07,6.06,7.72,9.76,14.5,61.97,14.17,16.42,16.12,20.08,33.2,22.62,17.37,18.01,16.11,25.89,9.43,13.65,15.54,21.35,40.03,0.21,0.47,0.95,2.35,96.02,1.99,2.57,6.69,8.68,80.08,1.55,2.7,5.28,10.46,80.02,5.93,7.53,12.4,17.24,56.89,,8.8,12.86,16.94,50.43,3.89,4.29,10.88,18.03,62.91,0.1,0.24,0.59,0.81,98.26,1,0.97,2.14,3.91,91.99,0.61,1.33,2.84,5.72,89.51,2.93,5.44,6.99,11.22,73.42,,,8.78,12.7,66.19,2.15,3.37,5.75,10.39,78.34,63
E07000044,South Hams,2.94,5.06,11.86,80.14,12.7,13.7,26.34,47.26,7.34,7.55,13.82,71.29,8.26,10.74,24.14,56.87,28.53,16.27,19.89,35.31,7.22,10.98,24.93,56.88,0.41,0.91,7.34,7.33,84.01,4.02,4.4,14.28,14.54,62.77,0.98,1.72,7.99,10.1,79.21,0.64,1.74,10.38,16.56,70.68,8.85,7.34,15.37,20.4,48.05,0.3,1.45,9.01,16.93,72.31,1.44,2.09,5.28,9.91,81.27,6.79,7.22,13.21,18.36,54.42,4.43,4.77,6.94,11.79,72.06,3.08,4.86,12.09,20.8,59.17,17.75,13.61,16.71,19.9,32.03,1.59,5.04,12.32,21.97,59.08,0.29,0.52,1.78,6.12,91.29,3.28,3.16,8,11.64,73.92,0.73,1.47,3.76,6.77,87.26,0.56,0.96,4.51,9.44,84.52,,6.29,9.95,14.85,61.18,0.2,0.6,3.67,9.25,86.29,0,0.25,0.52,1.67,97.57,1.34,1.95,4.65,8.97,83.08,0.19,0.65,1.15,3.25,94.76,0.11,0.52,2.21,3.66,93.5,,,6.08,9.91,75.65,,0.25,1.71,2.97,95.07,77
E07000045,Teignbridge,1.39,2.08,5.84,90.68,7.03,7.97,29.21,55.78,11.66,10.84,14.46,63.04,18.1,11.79,25.43,44.67,36.28,17.66,18.93,27.13,6.07,10.99,29.04,53.9,0.1,0.55,1.74,2.91,94.7,1.57,1.64,5.29,11.88,79.62,1.64,4.31,7.19,11.09,75.78,6.53,3.49,9.03,16.04,64.9,12.6,9.65,13.63,19.57,44.55,0.4,1.15,7.32,15.7,75.43,0.79,0.68,1.83,4.09,92.61,3.07,3.01,9.56,14.45,69.91,6.45,6.22,10.43,11.87,65.04,8.62,7.95,14.01,17.98,51.45,21.92,14.08,19.35,15.96,28.69,0.1,5.24,12.51,19.65,62.49,0.08,0.48,0.47,1.72,97.26,1.23,1.24,3.8,5.15,88.58,1.42,3.1,4.3,7.96,83.22,5.87,2.52,6.08,11.05,74.47,,7.78,10.44,15.04,55.64,0.05,0.45,4.37,8.71,86.42,0.03,0.14,0.33,0.92,98.57,0.73,0.64,1.61,3.67,93.35,0.47,0.99,3.13,5.33,90.08,3.28,1.93,5,5.73,84.06,,,9.37,10.83,68.96,,,2.6,3.54,93.86,0
E07000046,Torridge,1.95,4.38,22.43,71.25,15.69,17.46,37.53,29.32,11.64,13.86,26.22,48.27,20.62,21.88,25.78,31.73,42.61,24.48,19.82,13.08,19.05,22.28,29.61,29.06,0.22,0.42,4.54,9.22,85.61,3.03,3.83,22.61,22.73,47.79,0.91,2.75,13.64,16.78,65.92,2.52,6.37,20.39,24.37,46.34,13.29,11.78,26.85,22.46,25.62,2.09,4.87,21.29,24.66,47.1,0.72,1.32,5.29,9.99,82.68,6.16,9.75,15,12.91,56.18,3.21,7.12,15.39,18.2,56.08,6.27,14.14,23.84,20.54,35.21,19.57,22.13,26.06,17.05,15.2,5.39,12.35,25.42,21.49,35.34,0.17,0.26,1,3.11,95.46,1.93,3.37,8.24,11.41,75.05,0.56,1.53,4.79,11.37,81.74,1.3,5.26,10.33,15.33,67.77,,9.76,17.03,20.02,43.64,0.57,4.23,11.21,15.31,68.68,0.04,0.1,0.24,0.75,98.87,0.65,1.19,3.41,8.44,86.3,0.09,0.45,1.56,4.97,92.93,0.57,1.27,6.87,9.86,81.42,,,12.84,16.07,61.84,0.05,1.38,7.69,8.72,82.16,74
E07000047,West Devon,3.51,5.27,11.96,79.26,18.6,10.66,21.21,49.52,13.99,10.89,16.19,58.93,13.94,15.54,24.83,45.69,44.38,17.37,17.1,21.15,11.4,15.49,26.87,46.23,0.19,0.81,6.39,7.48,85.13,4.21,4.81,12.07,13.43,65.48,1.85,4.24,10.77,11.76,71.37,1.03,3,10.4,15.89,69.68,15.87,10.75,15.69,18.56,39.13,0.82,2.06,9.8,17.5,69.83,1.78,2.17,7.47,8.37,80.21,10.59,10.05,12.96,12.24,54.17,8.64,7.49,14.22,15.18,54.47,4.48,10.23,25.75,18.55,40.99,25.5,17.66,24.07,13.85,18.91,2.33,10.01,30.65,19.45,37.56,0.14,0.6,2.62,4.19,92.45,3.3,4.1,8.89,10.48,73.22,1.57,3.12,5.72,9.14,80.46,0.66,1.9,4.7,13.97,78.77,,9.1,11.4,15.49,50.3,0.29,1.31,4.57,13.21,80.61,0.02,0.21,0.86,2.15,96.75,1.5,1.44,5.46,6.84,84.75,0.59,1.19,2.66,5.51,90.06,0.17,0.76,2.18,6.79,90.1,,,9.74,12.12,64.3,0.05,0.36,2.31,6.35,90.94,42
E07000061,Eastbourne,,0,1.48,98.52,0.06,1.15,24.57,74.22,1.6,2.53,4.82,91.05,0.21,2.06,20.67,77.06,10.61,8.16,21.3,59.92,,2.06,16.27,81.66,,,,0.02,99.98,,0,4.35,15.23,80.42,0.11,0.25,1.15,4.72,93.77,,,2.28,8.07,89.65,3.73,3.43,6.23,15.35,71.26,,,2.96,6.52,90.51,,,,0.02,99.98,0.02,0.14,0.93,10.76,88.15,0.29,0.84,1.06,2.69,95.12,,0.21,0.41,9.29,90.09,6.86,3.3,4.52,14.31,71.01,,0.3,0.3,7.68,91.73,,,,,100,,0,0.02,2.98,97,0.07,0.18,0.5,1.53,97.72,,,,1.45,98.55,,2.78,2.24,6.27,85.44,,,,2.07,97.93,,,,,100,,,,0.02,99.98,,,,0.36,99.64,,,,,100,,,1.04,2.58,95.26,,,,,100,84
E07000062,Hastings,,,0.61,99.39,,0.01,15.51,84.48,1.36,0.95,4.85,92.85,,,24.7,75.3,3.36,2.7,19.52,74.43,,,25.5,74.5,,,,0.1,99.9,,,3.2,5.42,91.38,,0.03,2.1,2.7,95.17,,,4.59,12.01,83.4,1.56,0.78,5.89,9.01,82.76,,,3.69,13.19,83.12,,,,0,100,,,0.47,4.8,94.73,0.31,1.09,0.92,2.36,95.33,,,0.87,9.82,89.31,2.41,1.05,2.23,11.11,83.2,,,1.23,9.81,88.97,,,,,100,,,0.13,0.79,99.08,,,0.81,2.3,96.89,,,0.22,4.58,95.2,,0.71,1.62,5.34,91.27,,,0.31,4.9,94.79,,,,,100,,,,0,100,,,,1.05,98.95,,,,0.22,99.78,,,0.81,2.6,95.47,,,,0.31,99.69,77
E07000063,Lewes,0.29,0.59,3.52,95.61,3.91,6.12,26.18,63.79,1.57,3.14,12.69,82.6,6.78,7.69,28.31,57.22,14.85,15.24,26.64,43.28,5.96,5.62,28.58,59.84,,,0.55,2.43,97.02,0.21,0.68,9.98,10.23,78.91,0,0.12,2.22,11.61,86.05,0.23,1.2,14.01,21.47,63.1,1.9,3.44,18.02,28.15,48.5,0.33,1.32,11.34,16.89,70.12,,0.02,0.07,0.55,99.37,0.32,1.78,4.45,9.57,83.87,0.21,0.42,0.96,4.82,93.6,0.08,3.68,8.06,16.94,71.24,3.29,5.28,10.87,20.85,59.71,0.11,2.75,6.72,16.31,74.11,,,0.06,0.23,99.72,0.02,0.26,1.94,4.38,93.4,,0.06,0.44,2.58,96.91,0.08,0.15,2.11,12.05,85.61,,1.86,5.09,14.81,77.08,0.11,0.22,2.2,9.91,87.56,,,,0.01,99.99,,0.02,0.06,0.44,99.47,,,0.01,0.19,99.79,,,,2.11,97.89,,,0.94,4.7,93.74,,,,1.99,98.01,67
E07000064,Rother,0.54,1.68,8.7,89.08,7.39,8.57,22.21,61.83,8.48,11.68,20.43,59.41,19.79,17.68,24.6,37.94,33.17,23.25,19.92,23.66,10.75,13.58,26.62,49.05,0.08,0.17,1.15,5.1,93.5,0.66,2.54,11.79,14.31,70.69,1.71,2.25,5.64,14.38,76.01,2.86,7.81,16.78,19.58,52.97,10.2,11.78,18.83,21.72,37.47,0.93,2.63,10.12,19.68,66.65,0.04,0.2,0.51,2.54,96.71,1.29,3.12,7.38,13.1,75.11,0.98,3.43,6.88,14.54,74.18,2.4,8.53,15.71,21.93,51.43,10.41,15.58,19.36,20.1,34.55,0.75,4.07,9.61,22.35,63.23,0,0.06,0.17,0.9,98.86,0.37,1.01,3.96,9.68,84.98,0.33,1.36,2.44,9.46,86.41,1.31,3.1,8.25,19.53,67.81,,8.13,13.3,21.57,51.03,0.37,1.19,2.9,14.21,81.33,,0.01,0.06,0.05,99.88,0.04,0.18,0.5,2.49,96.79,,0.23,0.81,2.23,96.73,0.04,0.97,2.45,7.52,89.03,,,6.73,14.46,74.54,,0.19,0.76,2.89,96.16,66
E07000065,Wealden,1.24,2.4,12.15,84.21,10.93,10.84,25.76,52.47,9.84,9.62,22.67,57.88,19.28,21.01,27.37,32.33,36.82,20.1,22.67,20.41,17.2,21.98,26.36,34.46,0.13,0.14,2.86,10.16,86.71,1.57,3.69,16.08,21.14,57.52,0.87,1.55,6.77,16.1,74.7,2.23,5.28,19.01,25.93,47.54,11.51,10.39,21.25,24.91,31.94,1.07,4.17,17.17,24.99,52.6,0.07,0.31,0.83,2.95,95.84,2.35,4.78,9.46,13.82,69.59,0.51,3.65,5.39,11.4,79.06,2.38,10.01,16.5,22.19,48.93,9.06,16.59,18.25,20.14,35.95,1.78,7.57,16.53,22.67,51.45,0.04,0.08,0.25,1.48,98.14,0.72,2.14,4.92,11.85,80.37,0.17,0.97,2.32,7.93,88.61,0.49,2.8,8.8,20.79,67.11,,9,12.19,21.61,51.4,0.33,1.65,6.78,20.91,70.33,,0,0.01,0.11,99.87,0.07,0.3,0.81,2.75,96.06,,0.03,0.21,1.27,98.49,0.02,0.3,1.54,6.79,91.35,,,5.33,11.27,79.36,,0.08,0.95,6,92.97,50
E07000066,Basildon,,,0.57,99.43,0.24,2.43,18.96,78.38,,0.03,3.89,96.08,,1.17,21.99,76.84,1.59,3.4,26.51,68.5,,1.04,24.14,74.83,,,,0.33,99.67,,0.01,1.94,4.88,93.18,,,0.07,2.4,97.53,,,3.23,14.76,82.01,,0.06,5.98,16.88,77.08,,,3.9,16.87,79.23,,,,0.17,99.83,0.02,0.15,0.97,10.58,88.28,,,,1.05,98.95,,0.2,2.26,12.41,85.14,0.2,0.94,4.13,17.12,77.61,,0.26,3,13.23,83.51,,,,0.17,99.83,,,0.13,1.91,97.95,,,,0.52,99.48,,,0.69,5.97,93.35,,0.03,1.16,9.15,89.66,,,0.91,6.1,92.99,,,,,100,,,,0.17,99.83,,,,,100,,,,,100,,,,0.99,99.01,,,,,100,68
E07000067,Braintree,0.57,1.75,10.65,87.02,6.8,12.58,29.58,51.04,3.54,6.49,22.15,67.83,9.22,15.66,29.46,45.65,26.78,18.39,26.48,28.35,9.27,13.7,31.45,45.57,0.09,0.13,2.7,4.56,92.52,1.64,2.49,11,14.08,70.79,0.08,0.56,5.4,14.71,79.24,1.69,1.99,16.8,22.92,56.6,4.2,5.42,28.69,27.09,34.6,2.07,1.59,15.05,20.38,60.91,0.12,0.16,0.86,4.61,94.25,2.03,4.52,9.87,15.18,68.4,0.26,1.01,2.98,9.49,86.26,2.88,4.17,12.97,24.2,55.77,10.37,11.56,16.68,22.76,38.62,3.66,3.96,10.87,23.38,58.14,0.08,0.04,0.16,1.47,98.26,0.58,1.72,4.56,10.29,82.85,0.03,0.13,0.74,4.89,94.21,0.91,1.69,5.95,16.35,75.11,,3.84,13.44,23.1,56.57,1.51,1.43,4.68,13.54,78.84,,,0.07,0.11,99.83,0.12,0.14,0.83,4.56,94.35,,,0.05,0.43,99.52,,0.35,1.65,4.57,93.44,,,2.9,9.08,86.78,,0.64,1.91,5.09,92.36,58
E07000068,Brentwood,0,0.18,3.1,96.72,1.47,3.8,16.3,78.42,0.26,1.5,10.82,87.43,0.87,4.83,18.88,75.43,5.19,11.82,28.38,54.62,0.95,5.56,19.44,74.04,,,0.49,1.17,98.34,0,0.3,6.05,8.23,85.41,,,1.69,6.62,91.68,,,4.23,16.75,79.02,0.44,1.81,15.54,23.37,58.84,,,3.95,13.34,82.71,,,0.08,0.25,99.67,0.15,0.26,2.41,10.04,87.15,,0.06,0.7,4.62,94.62,0.5,0.62,4.08,12.29,82.51,1.32,2.76,9.7,18.82,67.41,0.55,0.68,4.07,9.94,84.76,,,0.07,0.12,99.8,0,0.06,0.75,2.53,96.66,,,0.16,2.59,97.25,,,1.12,6.95,91.93,,0.82,4.55,12.8,81.61,,,0.96,4.77,94.28,,,,,100,,,0.08,0.25,99.67,,,,0.02,99.98,,,,0.25,99.75,,,0.58,4,95.37,,,,0.14,99.86,87
E07000069,Castle Point,,,0.16,99.84,0.07,1.53,25.61,72.79,,,5.96,94.04,1.01,1.52,20.51,76.95,1.11,3.36,29.19,66.34,1.62,1.22,18.3,78.86,,,,0,100,,,2.06,9.41,88.53,,,,1.79,98.21,,,3.54,7.35,89.1,,,5.7,11.31,82.99,,,5.28,8.55,86.17,,,0.01,0.19,99.81,0.02,0.05,2.9,21.48,75.55,,,0.45,1.45,98.1,0.25,0.51,5.32,21.3,72.62,0.23,0.68,6.34,22.97,69.78,0.41,0.81,8.55,21.99,68.25,,,,,100,,,0.04,4.2,95.76,,,,0.61,99.39,,,0.25,5.83,93.92,,,2.26,5.63,92.11,,,0.41,8.14,91.45,,,,,100,,,0.01,0.05,99.95,,,,,100,,,,,100,,,0.45,0.75,98.8,,,,,100,66
E07000070,Chelmsford,0.09,0.37,4.71,94.83,2.06,5.96,27.32,64.66,0.9,2.21,15.95,80.94,3.99,8.1,29.25,58.65,12.65,14.71,29.51,43.13,4.19,6.6,29.21,60.01,,,0.68,1.8,97.52,0.09,0.47,8.2,10.81,80.44,,0.04,2.66,9.89,87.41,,0.64,11.81,19.2,68.35,0.71,2.5,22.49,26.33,47.97,,0.55,11.28,19.45,68.72,,0.01,0.05,0.8,99.14,0.45,1.47,4.69,10.47,82.93,0,0.07,0.52,2.66,96.75,0.53,3.35,7.19,16.47,72.45,2.81,6.47,13.01,23.6,54.11,0.31,1.85,7.92,16.13,73.79,,,0,0.21,99.79,0.03,0.16,1.45,3.91,94.45,,0.01,0.06,0.87,99.07,,0.11,2.73,9.98,87.18,,1.24,6.64,17.88,73.9,,0.08,2.1,9.8,88.03,,,,,100,,0,0.06,0.62,99.32,,,,0.02,99.98,,,0.11,0.81,99.09,,,0.48,2.48,96.97,,,,0.63,99.37,45
E07000071,Colchester,0.25,1.46,7.59,90.7,2.58,6.33,31.37,59.72,3.56,8.74,24.91,62.79,12.73,13.49,26.29,47.5,22.85,22.36,27.24,27.56,0.58,8.26,26.76,64.4,,0.02,1.07,3.34,95.57,0.33,1.1,10.81,13.35,74.41,0.01,0.13,5.61,13.92,80.33,2.6,5.32,14.02,22.52,55.54,3.48,8.65,25.8,24.02,38.05,,,6.54,22.44,71.02,0,0.09,0.54,2.33,97.04,0.88,2.34,5.9,20.6,70.27,0.08,1.28,6.24,11.92,80.49,7.25,8.95,8.66,21.48,53.65,9.69,18.4,16.11,21.45,34.35,,0.7,5.48,27.3,66.52,,0,0.1,0.79,99.11,0.18,0.7,2.66,9.11,87.34,0,0.01,0.65,7.58,91.75,1.13,5.26,8.4,13.1,72.11,,6.23,16.93,20.16,54.68,,,1.28,10.13,88.59,,,,0.03,99.97,0,0.09,0.52,2,97.39,,,0.01,0.33,99.66,0.06,0.34,4.53,6.29,88.78,,,5.81,11.03,81.83,,,,0.81,99.19,85
