laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E07000167,Ryedale,150643,30353,2696,0,1516,3.98,3.19,18.67,74.16,13.95,12.42,40.23,33.4,17.98,10.23,15.37,56.43,18.24,23.5,30.32,27.94,,,,,7.4,15.71,35.76,41.12,1.26,1.38,6.76,9.37,81.22,4.45,2.16,25.7,18.26,49.44,4.29,5.06,15.61,13.56,61.48,5.85,6.57,19.58,20.43,47.57,,,,,,1.87,0.8,9.81,20.1,67.42,2.38,1.16,1.27,5.26,89.92,4.45,4.2,7.98,24.87,58.5,7.67,5.61,6.19,8.67,71.86,3.35,9.76,8.95,16.27,61.67,,,,,,1.27,2.68,4.93,14.95,76.16,0.99,1.41,1.28,3.31,93.02,3.1,2.22,4.32,14.3,76.06,3.47,3.73,5.39,9.44,77.96,1.85,5.39,8.31,12,72.45,,,,,,1.27,1.14,3.86,8.33,85.4,0.25,0.87,0.59,0.92,97.36,2.35,1.15,1.13,4.52,90.85,1.16,2.2,2.54,4.61,89.49,0.22,2.01,3.18,5.09,89.51,,,,,,0.27,1.27,1.26,1.65,95.55
E07000168,Scarborough,81660,63274,2255,0,1754,1.07,2.34,6.54,90.05,3.62,5.05,26.25,65.09,17.17,12.18,15.54,55.11,7.89,10.1,30.96,51.05,,,,,8.48,10.28,31.29,49.95,0.88,0.36,1.57,4.77,92.41,2.22,0.83,7.61,11.29,78.04,5.98,5.29,11.52,12.96,64.24,0.44,0.83,13.56,20.17,65.01,,,,,,0.56,1.06,14.93,17.84,65.6,0.4,1.32,0.53,1.82,95.93,1.29,2.41,2.72,9.08,84.51,7.97,7.63,6.87,8.95,68.59,0.92,2.77,5.63,17.29,73.39,,,,,,1.01,3.1,5.79,18.18,71.93,0.26,0.73,0.47,0.84,97.7,0.87,1.29,1.65,5.25,90.94,4.36,4.02,4.6,9.84,77.17,0.35,0.52,1.88,11.62,85.63,,,,,,0.45,0.67,1.9,12.07,84.9,0.07,0.13,0.37,0.55,98.88,0.4,1.11,0.64,1.76,96.09,1.26,2.11,3.11,4.49,89.03,0.13,0.22,0.61,1.81,97.24,,,,,,0.17,0.28,0.78,1.82,96.95
E07000169,Selby,59937,43457,2420,217,2057,0.17,0.83,11.37,87.63,5.33,11.59,39.37,43.71,0.61,2.45,12.94,84,5.56,10.54,39.23,44.67,,0.47,48.49,51.04,4.06,9.89,40.15,45.9,,,1.39,4.66,93.95,0.06,0.65,14.09,17.27,67.94,,0,0.94,5.21,93.85,0.2,0.28,14.87,29.77,54.88,,,2.31,11,86.69,,0.1,12.41,26.28,61.22,,0,0,2.71,97.29,1.23,2.02,4.19,25.16,67.39,,0.03,0.28,1.54,98.15,0.57,1.27,3.92,24.42,69.81,,,,19.42,80.58,0.24,1.16,3.94,24.85,69.81,,,,0.69,99.31,0.01,0.19,2.63,12.38,84.79,,,0,0.71,99.29,0.16,0.2,1.65,13.65,84.34,,,,3.2,96.8,,,1.46,12.47,86.07,,,,,100,,,0,2.27,97.73,,,,0,100,,,0.08,1.24,98.68,,,,0.91,99.09,,,,1.07,98.93
E07000170,Ashfield,10957,59446,1123,97,539,0,0,6.22,93.78,0.27,5.19,45.9,48.64,0.19,0.69,12.63,86.49,2.5,6.42,42.27,48.81,,,35.09,64.91,3.91,8.37,39.7,48.01,,,0.05,0.76,99.2,0,0,9.02,18.33,72.64,,,0.47,3.95,95.58,,0.18,13.79,23.77,62.26,,,,16.52,83.48,,0.37,10.23,22.49,66.92,0,,0.01,0.15,99.84,0.02,0.08,1.9,10.99,87.01,0.06,0.07,0.44,3.08,96.35,0.45,1.52,4.19,21.21,72.63,,,,9.3,90.7,0.93,2.98,6.13,26.36,63.59,,,0,0.04,99.96,0,0,0.14,3.27,96.58,,,0.08,1.15,98.76,,,1.43,11.33,87.24,,,,1.03,98.97,,,2.42,11.72,85.86,,,,,100,0,,0,0.08,99.92,,,0.01,0.06,99.93,,,,1.25,98.75,,,,,100,,,,2.6,97.4
E07000171,Bassetlaw,63802,57379,3198,63,2265,0.07,0.81,12.73,86.39,5.56,10.44,44.54,39.46,2.67,3.03,15.95,78.35,9.04,12.43,34.03,44.5,,,39.66,60.34,5.71,10.73,37.61,45.95,0,0,0.58,3.34,96.08,0.08,0.31,17.69,17.2,64.72,0.22,0.46,2.05,6.67,90.6,1.36,1.15,14.16,22.02,61.31,,,4.76,12.69,82.55,,0.31,14.93,24.27,60.5,,0.02,0.05,0.95,98.99,1.54,2.83,5.67,18.9,71.07,0.01,0.89,1.88,3.64,93.58,1.92,3.87,6.37,19.76,68.07,,,1.59,6.35,92.06,1.43,2.57,6.26,20.16,69.58,,0,0.01,0.32,99.67,0.01,0.21,2.73,8.49,88.56,,0.12,0.52,3.12,96.24,0.22,1.42,3.57,11.74,83.05,,,1.59,1.59,96.83,,0.09,3.49,13,83.42,,,0,0.01,99.99,,0.02,0.03,0.71,99.24,,,0.04,0.39,99.56,,0.31,0.74,2.08,96.87,,,,,100,,,0.04,1.49,98.46
E07000172,Broxtowe,8015,52455,856,161,653,,,1.45,98.55,0.04,1.02,26.42,72.52,,0.06,4.38,95.56,,0.82,23.21,75.98,,,31.04,68.96,,1.07,24.46,74.47,,,0.04,0.58,99.38,,,2.16,3.69,94.15,,,0.1,1.38,98.52,,,2.79,8.27,88.94,,,0.62,7.44,91.94,,,1.98,7.63,90.39,,,,0.3,99.7,,0.03,0.44,8.28,91.25,,,0.02,1.51,98.46,,0.23,0.93,9.77,89.06,,,1.24,7.44,91.32,,0.31,1.22,9,89.47,,,,0.11,99.89,,,0.02,1.85,98.13,,,,0.51,99.49,,,0.35,5,94.65,,,,2.48,97.52,,,0.3,4.26,95.43,,,,,100,,,,0.28,99.72,,,,,100,,,,2.32,97.68,,,,,100,,,,2.43,97.57
E07000173,Gedling,12014,55522,797,0,451,0,0.02,1.1,98.89,0.48,3.65,21.92,73.95,0.02,1.09,10.69,88.2,2.51,9.27,29.1,59.12,,,,,0.44,7.96,28.83,62.76,,,0.01,0.17,99.82,0,0,1.38,4.55,94.07,,,0.62,4.64,94.75,,,6.65,15.05,78.3,,,,,,,,9.52,13.73,76.75,,0,0.01,0.22,99.77,0.01,0.25,2.07,14.03,83.65,,0.02,0.8,4.7,94.47,1.76,2.26,7.16,17.07,71.75,,,,,,0.22,0.44,9.09,13.77,76.48,,,0,0.03,99.97,0,0,0.09,1.4,98.5,,,0.04,3.14,96.81,,,3.14,9.66,87.19,,,,,,,,4.21,8.65,87.14,,,,0.01,99.99,,,0.01,0.16,99.83,,,,0.23,99.77,,,0.38,4.15,95.47,,,,,,,,0.67,6.66,92.68
E07000174,Mansfield,7661,53304,843,0,604,0,0.16,3.92,95.93,1.17,5.13,32.46,61.23,1.16,0.76,8.76,89.32,0.59,1.66,30.69,67.05,,,,,0.66,1.99,32.74,64.61,,,0,0.85,99.15,0.17,0.02,5.79,9.96,84.06,,0.01,1.02,6.32,92.65,,,5.08,11.86,83.06,,,,,,,,6.6,13.74,79.66,,0,0,0.28,99.72,0.52,0.86,4.46,18.72,75.44,0.04,0.32,0.67,2.2,96.77,0.12,0.47,4.28,15.39,79.74,,,,,,0.17,0.66,5.47,18.84,74.86,,,,0.07,99.93,0.16,0.02,0.43,4.47,94.93,,,0.11,2.02,97.87,,,0.36,5.44,94.2,,,,,,,,0.5,6.61,92.9,,,,0,100,,0,0,0.26,99.74,,,,0.11,99.89,,,,,100,,,,,,,,,,100
E07000175,Newark and Sherwood,65123,60013,2716,0,2142,0.23,1.1,6.77,91.9,5.95,10.29,29.95,53.81,1.77,4.62,13.83,79.78,7.81,13.59,24.76,53.84,,,,,7.69,15.38,25.15,51.78,0,,0.35,1.25,98.4,0.36,0.66,5.69,11.69,81.6,0.02,0.06,0.96,6.24,92.73,0.11,0.62,7.37,17.59,74.31,,,,,,0.14,0.56,8.19,18.77,72.34,,0.06,0.31,4.47,95.16,1.02,2.8,10.68,29.82,55.68,0.03,0.49,1.87,6.33,91.27,2.22,4.63,8.99,25.67,58.49,,,,,,2.22,5.41,10.19,24.54,57.65,,0,0.02,0.23,99.75,0.14,0.56,2.01,8.61,88.67,,0.04,0.15,2.63,97.18,,0.44,2.83,11.94,84.79,,,,,,,0.47,3.12,13.25,83.16,,,,0,100,,0.04,0.22,1.71,98.03,,,0.02,0.19,99.79,,,0.07,1.78,98.15,,,,,,,,,1.98,98.02
E07000176,Rushcliffe,40927,54719,1471,0,1406,0.14,0.61,7.56,91.69,4.28,8.35,28.16,59.21,0.05,1.13,14.14,84.68,5.73,9.67,27,57.6,,,,,5.99,10.11,27.67,56.23,,,0.56,3.01,96.43,0.02,0.19,7.49,10.19,82.12,,,0.81,3.41,95.78,,0.28,14.71,16.32,68.69,,,,,,,0.29,15.39,16.92,67.4,,0,0.18,3.52,96.3,0.77,1.91,5.56,20.41,71.35,,0.01,0.19,2.63,97.17,0.61,4.05,6.91,17.77,70.66,,,,,,0.64,4.23,7.23,18.16,69.75,,,0.09,0.66,99.25,0.02,0.06,2.83,6.71,90.39,,,0.08,0.86,99.06,,0.07,5.67,11.03,83.23,,,,,,,0.07,5.93,11.46,82.53,,,,0.03,99.97,,,0.18,1.38,98.44,,,,0.01,99.99,,,0.41,1.71,97.88,,,,,,,,0.43,1.79,97.78
E07000177,Cherwell,58869,72235,2775,464,2218,0.02,0.29,8.9,90.79,4.88,8.7,23.43,63,0.25,1.99,14.93,82.82,6.14,11.63,29.92,52.31,0.22,1.29,19.7,78.79,3.94,9.84,28.65,57.58,,,1.97,3.52,94.5,0,0.17,11.43,13.47,74.92,,,3.75,7.45,88.8,0.04,0.29,12.07,21.13,66.48,,,3.47,6.08,90.44,,0.18,6.27,16.58,76.97,,0.05,0.39,2.81,96.76,0.69,3.52,7.27,17.78,70.74,0,0.08,1.1,4.56,94.25,0.6,2.69,9.44,19.69,67.57,,,0.22,7.16,92.63,0.4,1.31,5.13,17.5,75.66,,,0.16,1.29,98.55,0,0.06,3.57,7.8,88.56,,,0.69,2.45,96.86,,0.18,4.56,11.57,83.69,,,0.22,2.83,96.96,,0.09,1.3,6.9,91.71,,,0,0.02,99.98,,0,0.24,1.85,97.91,,,0,0.12,99.87,,,0.85,1.41,97.74,,,,,100,,,0.04,0.18,99.77
E07000178,Oxford,4565,65952,696,0,480,,,2.47,97.53,,0.21,23.22,76.57,,,2.5,97.5,,,16.38,83.62,,,,,,,15.61,84.39,,,0.04,0.21,99.75,,,2.84,3.37,93.78,,,0.07,0.24,99.69,,,1.3,4.3,94.41,,,,,,,,0.41,5.61,93.98,,,,0.01,99.99,,,0.26,6.35,93.4,,,,0.02,99.98,,,0.57,5.89,93.54,,,,,,,,0.83,7.29,91.88,,,,,100,,,0.03,0.16,99.81,,,,,100,,,0.14,0.29,99.57,,,,,,,,0.21,0.41,99.38,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100
E07000179,South Oxfordshire,67843,67592,3525,320,2232,0.29,0.49,9.04,90.19,4.8,7.36,33,54.85,3.26,3.2,15.62,77.92,9.48,11.02,33.72,45.79,3.14,1.26,22.46,73.14,7.11,9.49,33.41,49.99,0.06,0.04,1.2,4.95,93.74,0.26,0.13,13.84,15.97,69.79,0.14,0.38,4.5,9.83,85.15,1.96,0.43,15.56,25.41,56.64,,,5.92,12.8,81.27,,0.18,12.46,23.02,64.34,0.07,0.17,0.3,8.53,90.94,0.92,2.23,7.97,30.73,58.15,1.04,1.66,1.96,4.96,90.39,3.56,4.54,8.16,23.29,60.44,2.51,0.32,4.09,9.71,83.37,1.95,3.79,7,20.28,66.99,0.01,0.08,0.14,0.63,99.15,0.23,0.12,2.52,14.01,83.12,0.04,0.34,1.32,3.48,94.82,1.5,0.66,3.73,16.74,77.36,,,1.88,6.29,91.83,,0.09,2.47,13.47,83.97,0.01,0.02,0.09,0.11,99.78,0.07,0.14,0.23,2.45,97.11,0,0.07,0.37,0.91,98.65,0.84,1.16,0.46,2.66,94.88,,,,0.95,99.05,,,0.14,2.44,97.42
E07000180,Vale of White Horse,57864,62970,3211,0,1982,0.06,0.17,7.83,91.95,3.25,6.75,28.27,61.73,0.86,2.27,12.17,84.7,4.93,13.12,32.2,49.76,,,,,3.13,9.53,30.5,56.84,,0,0.31,3.09,96.6,0.01,0.03,9.69,11.42,78.86,,0.01,1.64,5.23,93.12,,0.24,10.95,20.6,68.21,,,,,,,0.29,7.77,16.13,75.8,,0.01,0.06,6.63,93.31,0.34,1.05,4.21,21.76,72.64,0.01,0.15,0.93,3.78,95.12,0.52,2.1,5.94,21.24,70.2,,,,,,0.1,0.94,4.54,19.41,75.01,,,0.02,0.23,99.74,0,0.01,1.64,7,91.35,,,0.27,1.42,98.32,,0.09,1.57,9.98,88.36,,,,,,,0.05,0.84,6.13,92.98,,,,0.01,99.99,,0,0.05,0.67,99.28,,,,0.07,99.93,,,0.18,1.58,98.24,,,,,,,,0.24,0.66,99.1
E07000181,West Oxfordshire,71441,53338,3547,0,1909,0.08,0.34,15.1,84.48,5.32,10.05,45.83,38.79,1.67,2.26,14.97,81.1,6.49,14.21,34.74,44.56,,,,,4.7,12.81,36.31,46.18,0,0,1.23,4.66,94.11,0.04,0.07,15.95,18.77,65.17,0.08,0.13,2.03,6.99,90.77,0.09,0.03,12.88,20.88,66.13,,,,,,,,12.74,20.6,66.66,0,0.04,0.27,4.58,95.11,1.09,2.41,10.05,33.66,52.8,0.23,0.42,1.15,6.19,92.01,1.14,2.95,8.01,22.78,65.13,,,,,,0.53,2.21,6.85,21.09,69.32,0,0,0.02,1.58,98.4,0.03,0.07,3.03,14.65,82.22,0.06,0.09,0.32,2.31,97.22,0.09,0.03,3.19,10.88,85.81,,,,,,,,2.03,10.27,87.7,,,0,0.11,99.89,0,0.02,0.07,3.34,96.57,0,0.01,0.05,0.22,99.72,,,0.09,1.81,98.11,,,,,,,,,0.67,99.33
E07000187,Mendip,73944,56002,3662,0,2333,0.76,2.21,15.33,81.71,11.08,11.17,36.01,41.75,1.26,3.14,13.3,82.3,10.42,15.51,25.89,48.18,,,,,8.51,13.2,24.68,53.61,0,0.02,1.45,4.56,93.98,0.24,1.47,13.48,16.45,68.36,0.01,0.1,4.11,5.93,89.85,0.8,1.57,10.59,15.86,71.18,,,,,,0.09,0.43,6.56,15.22,77.7,0.12,0.43,1.9,13.69,83.86,2.41,6.88,10.67,23.98,56.07,0.26,1.22,2.95,10.71,84.86,4.17,6.09,11.51,25.08,53.15,,,,,,1.65,3.46,11.01,24.41,59.47,,0.02,0.39,1.6,97.99,0.17,0.71,4.51,10.77,83.85,0.01,0.04,0.94,4.16,94.85,0.69,1.15,5.48,8.38,84.3,,,,,,0.09,0.34,2.65,5.39,91.53,,0,0.01,0.44,99.55,0.06,0.2,1.27,4.74,93.73,,0.01,0.06,2.04,97.88,0.29,0.69,2.03,5.14,91.85,,,,,,,0.04,0.8,1.39,97.77
E07000188,Sedgemoor,56425,59697,2174,407,1831,0.26,1.15,13.27,85.32,8.23,10.38,40.99,40.4,2.88,3.26,11.38,82.49,14.03,13.27,34.01,38.69,,1.73,39.61,58.66,6.49,10.45,38.4,44.66,0.01,0.09,1.38,11.56,86.95,0.42,1.89,14.17,32.34,51.18,0.35,0.9,2.57,7.61,88.56,3.32,1.55,15.67,26.66,52.8,,,14.53,17.24,68.23,0.67,1.11,15.98,26.27,55.97,0.15,0.17,0.49,5.57,93.62,2.05,4.36,10.36,20.06,63.17,1.75,1.2,1.93,5.95,89.16,5.65,5.84,13.96,22.72,51.83,,,4.68,30.16,65.16,0.83,4.54,10.35,22.37,61.9,0.01,0.08,0.07,0.55,99.29,0.24,0.65,3.57,10,85.53,0.31,0.78,0.84,1.88,96.19,2.9,0.85,4.54,12.45,79.26,,,0.98,9.1,89.92,0.28,0.33,4.02,10.14,85.22,0,0.04,0.03,0.04,99.88,0.15,0.14,0.29,1.65,97.78,0.12,0.26,0.52,1.21,97.89,2.1,0.95,1.13,1.92,93.9,,,,,100,,0.06,0.84,1.23,97.88
E07000189,South Somerset,95904,84416,4525,0,3123,0.47,0.93,12.84,85.76,9.64,11.78,34.68,43.89,1.14,2.1,9.81,86.95,8.65,11.49,31.36,48.5,,,,,6.64,10.7,33.1,49.56,,0.02,0.61,2.73,96.64,0.4,0.73,10.03,17.22,71.62,,0.08,1.27,3.29,95.36,0.46,0.76,7.84,17.96,72.98,,,,,,0.06,0.26,6.96,16.17,76.54,0.1,0.18,0.96,15.36,83.4,1.6,5.07,11.05,24.55,57.72,0.32,0.67,1.84,8.28,88.89,1.1,3.71,10.19,24.3,60.69,,,,,,0.53,1.97,9.27,23.23,65,,0.02,0.08,0.77,99.13,0.23,0.47,2.82,8.92,87.56,,0.03,0.36,1.54,98.07,0.35,0.32,2.24,7.76,89.33,,,,,,,0.13,1.62,6.52,91.73,,,0.01,0.07,99.91,0.1,0.09,0.26,3.38,96.17,,,0.02,0.2,99.78,0.02,0.13,0.38,3.27,96.19,,,,,,,,0.06,2.09,97.85
E07000192,Cannock Chase,7884,47932,605,62,529,0,0.04,12,87.96,0.26,2.3,50.45,47,0.46,3.07,33.73,62.74,0.66,3.81,41.98,53.55,,,43.58,56.42,0.76,3.98,41.58,53.68,,,0.86,3.72,95.42,0,0.04,12.06,17.98,69.93,,,4.17,19.72,76.12,,0.17,15.39,13.07,71.38,,,4.86,22.62,72.53,,0.19,12.3,13.63,73.88,,0,0.02,0.14,99.84,0.03,0.46,2.18,9.91,87.42,0.04,0.29,2.71,7.17,89.79,0.66,1.99,5.79,7.94,83.62,,,,8.05,91.95,0.76,2.09,4.54,6.24,86.38,,,0,0.09,99.91,,0,0.3,5.89,93.8,,,0.19,6.12,93.69,,0.17,4.64,7.28,87.91,,,,4.83,95.17,,0.19,4.93,4.16,90.72,,,,0,100,,0,0,0.13,99.87,,,,0.23,99.77,,,0.17,2.98,96.86,,,,,100,,,0.19,3.41,96.4
E07000193,East Staffordshire,39008,56328,2195,0,1064,0.85,1.14,6.71,91.3,6.44,6.81,32.49,54.26,5.3,7.2,15.12,72.38,14.86,12.08,27.68,45.38,,,,,11.02,7.58,25.32,56.07,,0,0.43,2.07,97.49,0.69,0.93,7.57,10.33,80.48,0.01,0.16,3.24,10.26,86.34,2.27,1.99,12.39,20.82,62.53,,,,,,1.96,2.05,9.34,13.33,73.32,0.01,0.3,0.77,1.3,97.62,0.66,2.8,5.05,9.95,81.55,0.32,1.94,4.61,8.57,84.56,2.71,6.29,8.75,17.1,65.15,,,,,,2.43,5.41,4.87,13.57,73.72,,0,0.02,0.29,99.69,0.23,0.68,1.18,4.72,93.2,,0.1,0.39,3.49,96.02,1.23,1.63,3.61,11.22,82.31,,,,,,1.59,0.75,2.89,6.89,87.88,,,0,0.08,99.92,0.01,0.22,0.61,1.06,98.11,,,0.05,0.34,99.61,0.05,0.91,1.68,3.03,94.34,,,,,,,0.75,1.4,2.05,95.81
E07000194,Lichfield,33123,49370,2077,226,1973,0.27,1.57,16.24,81.92,4.11,11.27,44.32,40.29,0.3,1.88,14.47,83.35,2.86,12.37,36.32,48.45,5.36,3.57,55.13,35.93,2.51,10.75,38.67,48.08,,,1.48,6.94,91.58,0.16,1.5,24.78,17.41,56.16,,,1.11,5.78,93.12,,0.14,12.96,21.08,65.82,,,28.19,33.14,38.66,,0.1,14.49,22.99,62.42,,0,0.07,3.96,95.97,0.46,1.96,11.75,32.2,53.63,,0.01,0.46,3.38,96.14,0.29,1.5,7.52,25.51,65.19,,0.89,6.63,39.22,53.26,0.2,1.32,7.4,27.99,63.08,,,,0.36,99.64,0.03,0.37,2.86,18.17,78.57,,,0.01,1,99,,,1.53,9.46,89.01,,,2.22,33.92,63.86,,,1.62,12.47,85.92,,,,0,100,,,0.05,2.21,97.73,,,,0.01,99.99,,,,1.38,98.62,,,,13.58,86.42,,,,2.7,97.3
E07000195,Newcastle-under-Lyme,21101,61085,1641,190,1261,0.04,0.16,2.76,97.05,0.87,4.05,31.06,64.03,1.7,2.91,10,85.39,7.81,8.55,29.41,54.23,,,24.71,75.29,5.73,7.45,31.33,55.48,,,0.05,0.72,99.22,0.01,0.07,4.98,10.56,84.38,,0.02,1.14,4.09,94.75,0.06,0.72,7.63,15.58,76.01,,,13.1,12.07,74.82,,0.71,7.56,15.11,76.63,0,0,0.06,0.32,99.62,0.05,0.26,1.57,13.81,84.31,0.22,0.25,1.68,4.25,93.6,0.24,2.35,6.44,14.95,76.03,,,,9.98,90.02,0.16,2.04,4.8,15.5,77.51,,,0,0.05,99.95,0,0.02,0.43,2.52,97.02,,0.02,0.21,1.16,98.61,,0.24,1.98,6.48,91.3,,,,8.39,91.61,,0.24,1.8,7.25,90.71,,,0,0,100,0,0,0.03,0.28,99.69,,,0.04,0.16,99.8,,,0.48,2.29,97.23,,,,,100,,,0.47,2.27,97.25
E07000196,South Staffordshire,40724,50657,1595,481,1657,0.23,0.39,4.63,94.75,3.43,9.28,23.2,64.1,1.45,3.15,11.16,84.23,7.07,8.66,23.63,60.64,1.22,1.23,32.42,65.13,5.46,6.34,25.29,62.91,,,0.04,1.26,98.7,0.1,0.31,4.83,10.03,84.72,,0.01,0.49,4.05,95.45,,0.12,5.18,17.47,77.22,,,6.61,19.69,73.71,,0.06,5.33,18.94,75.67,,0,0.44,1.51,98.04,0.12,0.85,8.79,17.69,72.54,,0.12,1.96,5.55,92.37,0.19,1.8,6.74,20.1,71.17,,1.22,2.25,26.23,70.3,0.12,1.6,5.81,20.94,71.54,,,0.01,0.07,99.92,0,0.03,1.23,7.75,90.99,,,0.05,1.24,98.71,,,1.55,7.14,91.31,,,0.81,14.09,85.09,,,1.48,8.91,89.6,,,,0,100,,0,0.21,1.54,98.25,,,,0.09,99.91,,,,1.51,98.49,,,,7.06,92.94,,,,2.72,97.28
E07000197,Stafford,59815,65526,2784,330,2296,0.31,0.81,8.04,90.84,5.46,7.47,31.05,56.02,2.81,5.16,16.73,75.3,12.34,14.95,31.05,41.66,,,17.24,82.76,6.88,11.67,29.7,51.74,0,0.02,2.17,3.02,94.78,0.28,0.56,11.1,11.27,76.79,0.03,0.16,2.69,9.01,88.11,0.72,1.34,15.78,20.65,61.5,,,1.82,13.64,84.54,0.17,0.31,12.98,19.23,67.3,0.03,0.17,0.28,2.56,96.96,1.06,2.42,5.41,14.45,76.65,0.26,1.07,2.67,7.32,88.68,1.39,6.64,11.74,20.09,60.15,,,1.52,9.06,89.42,0.81,2.63,9.93,18.66,67.97,0,0.01,0.06,0.32,99.61,0.16,0.45,1.96,8.79,88.64,0.03,0.07,0.45,2.74,96.72,0.07,1.24,3.73,13.45,81.52,,,0.91,3.33,95.76,,0.22,2.52,12.34,84.92,0,,0,0.07,99.93,0.03,0.16,0.17,0.91,98.74,0,0,0.04,0.24,99.71,,0.66,0.65,2.8,95.89,,,,0.6,99.4,,,0.31,1.57,98.13
E07000198,Staffordshire Moorlands,57581,46871,2207,0,1606,1.6,1.46,5.66,91.28,7.63,8.97,38.07,45.33,11.77,9.91,12.71,65.62,17.35,17.71,19.52,45.42,,,,,10.6,17.65,21.14,50.61,0.09,0.34,1.21,2.7,95.66,1.62,0.97,6.57,16.06,74.79,1.66,2.62,8.03,10.24,77.45,5.7,3.25,9.15,18.66,63.25,,,,,,1.44,1.81,6.59,16.84,73.33,0.76,0.9,0.9,1.89,95.56,2.81,2.4,3.85,12.82,78.12,5.17,6.33,6.51,10.38,71.61,8.39,8.21,8.78,13.06,61.56,,,,,,3.43,6.62,7.49,13.33,69.13,0.08,0.28,0.37,1.09,98.18,1.47,0.8,1.36,5.58,90.78,1.45,1.91,3.2,6.46,86.99,4.83,2.38,5.16,10.44,77.2,,,,,,0.69,1.5,3.05,8.5,86.27,0.01,0.06,0.15,0.24,99.53,0.72,0.61,0.67,1.44,96.57,0.52,0.83,1.47,2.88,94.29,2.4,1.88,2.62,5.68,87.42,,,,,,0.06,0.31,1.13,2.3,96.19
E07000199,Tamworth,3091,35636,441,0,262,,,0.58,99.42,0.04,1.89,29.56,68.5,,,1.49,98.51,,2.27,29.69,68.04,,,,,,1.52,35.88,62.59,,,0.06,0.59,99.35,,,4.69,14.53,80.78,,,0.07,0.97,98.96,,,3.4,15.43,81.17,,,,,,,,3.82,15.67,80.52,,,,0.06,99.94,,0.07,0.73,19.37,79.84,,,,0.19,99.81,,0.23,0.45,15.01,84.31,,,,,,,0.38,0.77,11.1,87.75,,,,0.06,99.94,,,0,6.15,93.85,,,,0.03,99.97,,,,5,95,,,,,,,,,5.36,94.64,,,,,100,,,,0.06,99.94,,,,,100,,,,,100,,,,,,,,,,100
